functionality   stdev   single   inter   double
0.0   0.0   0   0   0
0.0   0.0   1   0   0
0.0   0.0   2   0   0
0.0   0.0   3   0   0
0.0   0.0   4   0   0
0.0   0.0   5   0   0
0.0   0.0   6   0   0
0.1   0.3   5   1   0
0.1   0.3   6   1   0
0.1   0.3   7   1   0
0.1   0.3   8   1   0
0.1   0.3   9   1   0
0.1   0.3   10   1   0
0.1   0.3   11   1   0
0.1   0.3   12   1   0
0.1   0.3   13   1   0
0.1   0.3   14   1   0
0.1   0.3   15   1   0
0.1   0.3   16   1   0
0.1   0.3   17   1   0
0.1   0.3   18   1   0
0.1   0.3   19   1   0
0.1   0.3   20   1   0
0.1   0.3   21   1   0
0.1   0.3   22   1   0
0.1   0.3   23   1   0
0.1   0.3   24   1   0
0.1   0.3   25   1   0
0.1   0.3   26   1   0
0.1   0.3   27   1   0
0.1   0.3   28   1   0
0.1   0.3   29   1   0
0.1   0.3   30   1   0
0.1   0.3   31   1   0
0.1   0.3   32   1   0
0.1   0.3   33   1   0
0.1   0.3   34   1   0
0.1   0.3   35   1   0
0.1   0.3   36   1   0
0.1   0.3   37   1   0
0.1   0.3   38   1   0
0.1   0.3   39   1   0
0.1   0.3   40   1   0
0.1   0.3   41   1   0
0.1   0.3   42   1   0
0.1   0.3   43   1   0
0.1   0.3   44   1   0
0.1   0.3   45   1   0
0.1   0.3   46   1   0
0.1   0.3   47   1   0
0.1   0.3   48   1   0
0.1   0.3   49   1   0
0.1   0.3   50   1   0
0.1   0.3   51   1   0
0.1   0.3   52   1   0
0.1   0.3   53   1   0
0.2   0.4   52   2   0
0.2   0.4   53   2   0
0.2   0.4   54   2   0
0.2   0.4   55   2   0
0.3   0.46   54   3   0
0.4   0.58   53   4   0
0.4   0.58   54   4   0
0.4   0.58   55   4   0
0.5   0.67   54   5   0
0.5   0.67   55   5   0
0.5   0.67   56   5   0
0.5   0.67   57   5   0
0.6   0.73   56   6   0
0.6   0.73   57   6   0
0.7   0.71   56   7   0
0.7   0.71   57   7   0
0.7   0.71   58   7   0
0.7   0.71   59   7   0
0.7   0.71   60   7   0
0.7   0.71   61   7   0
0.8   0.75   60   8   0
0.9   0.89   59   9   0
0.9   0.89   60   9   0
1.0   0.89   59   10   0
1.1   0.89   58   11   0
1.1   0.89   59   11   0
1.1   0.89   60   11   0
1.1   0.89   61   11   0
1.1   0.89   62   11   0
1.2   1.03   61   12   0
1.2   1.03   62   12   0
1.3   1.05   61   13   0
1.3   1.05   62   13   0
1.3   1.05   63   13   0
1.4   1.02   62   14   0
1.4   1.02   63   14   0
1.5   1.02   62   15   0
1.5   1.02   63   15   0
1.6   1.02   62   16   0
1.7   0.95   61   17   0
1.7   0.95   62   17   0
1.8   0.98   61   18   0
1.9   1.04   60   19   0
1.9   1.04   61   19   0
2.0   1.05   60   20   0
2.0   1.05   61   20   0
2.1   1.09   60   21   0
2.2   1.21   59   22   0
2.3   1.23   58   23   0
2.4   1.39   57   24   0
2.4   1.39   58   24   0
2.5   1.5   57   25   0
2.5   1.5   58   25   0
2.5   1.5   59   25   0
2.6   1.56   58   26   0
2.7   1.49   57   27   0
2.8   1.57   56   28   0
2.9   1.48   55   29   0
3.0   1.38   54   30   0
3.1   1.26   53   31   0
3.1   1.26   54   31   0
3.1   1.26   55   31   0
3.1   1.26   56   31   0
3.2   1.25   55   32   0
3.3   1.19   54   33   0
3.4   1.07   53   34   0
3.4   1.07   54   34   0
3.5   1.07   53   35   0
3.5   1.07   54   35   0
3.5   1.07   55   35   0
3.6   1.16   54   36   0
3.6   1.16   55   36   0
3.7   1.19   54   37   0
3.8   1.17   53   38   0
3.8   1.17   54   38   0
3.8   1.17   55   38   0
3.9   1.22   54   39   0
3.9   1.22   55   39   0
4.0   1.18   54   40   0
4.0   1.18   55   40   0
4.1   1.14   54   41   0
4.1   1.14   55   41   0
4.2   1.17   54   42   0
4.3   1.14   53   43   0
4.3   1.14   54   43   0
4.4   1.2   53   44   0
4.5   1.28   52   45   0
4.6   1.28   51   46   0
4.7   1.23   50   47   0
4.8   1.25   49   48   0
4.8   1.25   50   48   0
4.9   1.26   49   49   0
5.0   1.3   48   50   0
5.0   1.3   49   50   0
5.1   1.26   48   51   0
5.2   1.25   47   52   0
